,maker,car
97611,기아 / 승용,K3(18)
97612,기아 / RV,스포티지(16)
97613,기아 / 승용,K3(18)
97614,한국GM / 승용,더넥스트스파크
97615,현대 / 승용,아반떼AD(16)
97616,기아 / 승용,레이(18)
97617,현대 / 승용,아이오닉
97618,현대 / 승용,아반떼AD(16)
97619,기아 / 승용,K3(18)
97620,현대 / RV,올뉴투싼(15)
97621,기아 / 승용,올뉴모닝(17)
97622,쌍용 / RV,티볼리
97623,기아 / 승용,레이
97624,기아 / 승용,올뉴모닝(17)
97625,현대 / RV,코나
97626,현대 / 승용,G80(16)
97627,현대 / RV,올뉴투싼(15)
97628,르노삼성 / 승용,SM6
97629,기아 / 승용,레이(18)
97630,현대 / 승용,아반떼AD(16)
97631,기아 / RV,올뉴카니발(14)
97632,현대 / 승용,아반떼AD(16)
97633,현대 / 승용,아반떼AD(16)
97634,기아 / RV,올뉴카니발(14)
97635,현대 / 승용,아반떼AD(16)
97636,쌍용 / RV,티볼리
97637,현대 / RV,코나
97638,르노삼성 / 승용,뉴SM3(2012)
97639,쌍용 / RV,티볼리
97640,현대 / RV,코나
97641,현대 / 승용,아반떼AD(16)
97642,현대 / 승용,아반떼AD(16)
97643,현대 / 승용,아반떼AD(16)
97644,현대 / 승용,아반떼AD(16)
97645,현대 / 승용,아반떼AD(16)
97646,쌍용 / RV,티볼리
97647,기아 / RV,니로
97648,한국GM / 승용,더넥스트스파크
97649,현대 / RV,코나
97650,현대 / 승용,아반떼AD(16)
97651,기아 / 승용,스팅어(17)
97652,기아 / RV,올뉴카니발(14)
97653,기아 / 승용,프라이드4DR(15)
97654,기아 / RV,스포티지(16)
97655,기아 / 승용,레이
97656,현대 / RV,올뉴투싼(15)
97657,현대 / 승용,아반떼AD(16)
97658,기아 / 승용,레이(18)
97659,현대 / 승용,아반떼AD(16)
97660,기아 / RV,올뉴카니발(14)
97661,기아 / RV,올뉴카니발(14)
97662,현대 / 승용,아반떼AD(16)
97663,기아 / RV,올뉴카니발(14)
97664,현대 / RV,코나
97665,기아 / 승용,K3(18)
97666,현대 / 승용,아반떼AD(16)
97667,현대 / RV,코나
97668,기아 / RV,올뉴카니발(14)
97669,현대 / RV,올뉴투싼(15)
97670,한국GM / 승용,더넥스트스파크
97671,기아 / RV,올뉴카니발(14)
97672,한국GM / 승용,더넥스트스파크
97673,현대 / 승용,아반떼AD(16)
97674,현대 / 승용,아반떼AD(16)
97675,현대 / RV,싼타페TM(18)
97676,현대 / RV,코나
97677,기아 / RV,올뉴카니발(14)
97678,기아 / 승용,올뉴모닝(17)
97679,현대 / RV,코나
97680,현대 / 승용,아반떼AD(16)
97681,한국GM / 승용,더넥스트스파크
97682,현대 / 승용,아반떼AD(16)
97683,현대 / RV,올뉴투싼(15)
97684,기아 / 승용,K3(18)
97685,현대 / 승용,아반떼AD(16)
97686,현대 / 승용,LF 쏘나타 뉴라이즈
97687,기아 / RV,올뉴카니발(14)
97688,현대 / 승용,아반떼AD(16)
97689,현대 / 승용,아반떼AD(16)
97690,현대 / RV,올뉴투싼(15)
97691,기아 / RV,스토닉
97692,쌍용 / RV,티볼리
97693,한국GM / 승용,올뉴말리부(2017)
97694,현대 / 승용,아반떼AD(16)
97695,기아 / RV,올뉴카니발(14)
97696,현대 / 승용,G80(16)
97697,현대 / 승용,아반떼AD(16)
97698,기아 / 승용,올뉴프라이드5DR(12)
97699,현대 / 승용,아반떼AD(16)
97700,현대 / 승용,아반떼AD(16)
97701,기아 / 승용,올뉴모닝(17)
97702,기아 / 승용,올뉴모닝(17)
97703,기아 / 승용,K3(4도어)(16)
97704,기아 / RV,니로
97705,현대 / 승용,아반떼AD(16)
97706,기아 / RV,올뉴카니발(14)
97707,현대 / 승용,아반떼AD(16)
97708,기아 / RV,올뉴카니발(14)
97709,한국GM / 승용,더넥스트스파크
97710,기아 / 승용,K5(15)
97711,현대 / 승용,아반떼AD(16)
97712,현대 / 승용,아반떼AD(16)
97713,기아 / RV,스포티지(16)
97714,기아 / 승용,올뉴모닝(17)
97715,기아 / RV,스포티지(16)
97716,기아 / 승용,K3(4도어)(16)
97717,현대 / 승용,아반떼AD(16)
97719,기아 / RV,스포티지(16)
97720,현대 / RV,코나
97721,기아 / RV,올뉴카니발(14)
97722,르노삼성 / 승용,SM6
97723,기아 / RV,올뉴카니발(14)
97724,쌍용 / RV,티볼리
97725,기아 / RV,올뉴카니발(14)
97726,현대 / RV,코나
97727,현대 / RV,올뉴투싼(15)
97728,쌍용 / RV,티볼리
97729,기아 / RV,올뉴카니발(14)
97730,기아 / RV,올뉴카니발(14)
97731,기아 / 승용,K3(18)
97732,현대 / 승용,아반떼AD(16)
97733,현대 / 승용,아반떼AD(16)
97734,현대 / 승용,아반떼AD(16)
97735,현대 / 승용,아이오닉
97736,현대 / 승용,아반떼AD(16)
97737,현대 / 승용,아반떼AD(16)
97738,현대 / RV,올뉴투싼(15)
97739,기아 / RV,스토닉
97740,현대 / 승용,아반떼AD(16)
97741,현대 / RV,올뉴투싼(15)
97742,현대 / RV,코나EV(19)
97743,기아 / 승용,레이(18)
97744,현대 / 승용,아반떼AD(16)
97745,현대 / 승용,아반떼AD(16)
97746,현대 / 승용,아반떼AD(16)
97747,쌍용 / RV,티볼리
97748,현대 / RV,코나
97749,기아 / 승용,올뉴모닝(17)
97750,기아 / 승용,K3(18)
97751,기아 / RV,올뉴카니발(14)
97752,기아 / RV,올뉴카니발(14)
97753,현대 / RV,올뉴투싼(15)
97754,한국GM / 승용,올뉴말리부(2017)
97755,현대 / 승용,아반떼AD(16)
97756,현대 / 승용,아반떼AD(16)
97757,현대 / 승용,그랜져IG(17)
97758,기아 / 승용,뉴프라이드4DR(05)
97759,기아 / RV,니로
97760,기아 / RV,올뉴카니발(14)
97761,기아 / RV,올뉴카니발(14)
97762,기아 / RV,스포티지(16)
97763,현대 / 승용,아반떼AD(16)
97764,기아 / RV,스포티지(16)
97765,기아 / 승용,올뉴모닝(17)
97766,현대 / 승용,아반떼AD(16)
97767,기아 / 승용,K5
97768,현대 / 승용,아반떼AD(16)
97769,기아 / RV,올뉴카니발(14)
97770,기아 / 승용,레이(18)
97771,현대 / RV,올뉴투싼(15)
97772,한국GM / 승용,더넥스트스파크
97773,기아 / RV,올뉴카니발(14)
97774,쌍용 / RV,티볼리
97775,현대 / RV,코나
97776,현대 / RV,올뉴투싼(15)
97777,기아 / RV,올뉴카니발(14)
97778,기아 / 승용,올뉴프라이드5DR(12)
97779,기아 / 승용,K3(4도어)(16)
97780,현대 / 승용,아반떼AD(16)
97781,기아 / RV,올뉴카니발(14)
97782,현대 / 승용,아반떼AD(16)
97783,현대 / 승용,아반떼AD(16)
97784,기아 / RV,올뉴카니발(14)
97785,기아 / 승용,레이(18)
97786,기아 / RV,올뉴카니발(14)
97787,현대 / 승용,LF 쏘나타 뉴라이즈
97788,현대 / RV,올뉴투싼(15)
97789,기아 / RV,올뉴카니발(14)
97790,현대 / 승용,아반떼AD(16)
97791,기아 / 승용,K5(15)
97792,현대 / 승용,아반떼AD(16)
97793,한국GM / 승용,더넥스트스파크
97794,현대 / 승용,아반떼AD(16)
97795,현대 / RV,코나
97796,기아 / 승용,레이
97797,기아 / RV,올뉴카니발(14)
97798,기아 / RV,스포티지(16)
97799,현대 / 승용,아반떼AD(16)
97800,현대 / 승용,아반떼AD(16)
97801,르노삼성 / 승용,SM6
97802,현대 / RV,올뉴투싼(15)
97803,기아 / RV,올뉴카니발(14)
97804,기아 / RV,올뉴카니발(14)
97805,현대 / 승용,아반떼AD(16)
97806,현대 / RV,그랜드스타렉스웨건(18)
97807,현대 / 승용,아반떼AD(16)
97808,기아 / RV,올뉴카니발(14)
97809,기아 / RV,올뉴카니발(14)
97810,한국GM / 승용,더넥스트스파크
97811,현대 / 승용,아반떼AD(16)
97812,현대 / RV,올뉴투싼(15)
97813,현대 / 승용,아반떼AD(16)
97814,현대 / 승용,아반떼AD(16)
97815,기아 / 승용,프라이드4DR(15)
97816,기아 / RV,니로
97817,현대 / 승용,아반떼AD(16)
97818,기아 / RV,올뉴카니발(14)
97819,기아 / 승용,올뉴모닝(17)
97820,한국GM / RV,트랙스
97821,현대 / 승용,LF 쏘나타 뉴라이즈
97822,기아 / 승용,프라이드5DR(15)
97823,기아 / 승용,프라이드4DR(15)
97824,기아 / RV,올뉴카니발(14)
97825,현대 / RV,올뉴투싼(15)
97826,한국GM / 승용,더넥스트스파크
97827,기아 / 승용,레이(18)
97829,기아 / RV,스포티지(16)
97830,현대 / 승용,아반떼AD(16)
97831,현대 / 승용,아반떼AD(16)
97832,현대 / 승용,아반떼AD(16)
97833,기아 / RV,스포티지(16)
97834,기아 / RV,스포티지(16)
97835,기아 / 승용,프라이드5DR(15)
97836,기아 / RV,올뉴카니발(14)
97837,현대 / 승용,아반떼AD(16)
97838,현대 / 승용,아반떼AD(16)
97839,쌍용 / RV,티볼리
97840,기아 / RV,올뉴카니발(14)
97841,기아 / RV,올뉴카니발(14)
97842,현대 / 승용,아반떼AD(16)
97843,현대 / 승용,아이오닉
97844,기아 / RV,올뉴카니발(14)
97845,현대 / 승용,아반떼AD(16)
97846,현대 / 승용,아반떼AD(16)
97847,기아 / RV,올뉴카니발(14)
97848,기아 / RV,올뉴카니발(14)
97849,현대 / 승용,아반떼AD(16)
97850,기아 / RV,올뉴카니발(14)
97851,기아 / 승용,K3(4도어)(16)
97852,현대 / 승용,아반떼AD(16)
97853,기아 / 승용,올뉴프라이드5DR(12)
97854,현대 / RV,코나
97855,기아 / RV,올뉴카니발(14)
97856,기아 / RV,올뉴카니발(14)
97857,기아 / 승용,K3(18)
97858,쌍용 / RV,티볼리
97859,현대 / 승용,아반떼AD(16)
97860,한국GM / 승용,더넥스트스파크
97861,현대 / 승용,아반떼AD(16)
97862,현대 / 승용,아반떼AD(16)
97863,기아 / 승용,프라이드5DR(15)
97864,현대 / RV,코나
97865,현대 / 승용,아반떼AD(16)
97866,기아 / 승용,레이(18)
97867,기아 / RV,올뉴카니발(14)
97868,기아 / 승용,K3(4도어)(16)
97869,현대 / 승용,아반떼AD(16)
97870,현대 / 승용,아반떼AD(16)
97871,현대 / RV,코나
97872,현대 / 승용,아반떼AD(16)
97873,기아 / 승용,프라이드5DR(15)
97874,쌍용 / RV,티볼리
97875,기아 / 승용,올뉴모닝(17)
97876,쌍용 / RV,티볼리
97877,기아 / 승용,프라이드5DR(15)
97878,쌍용 / RV,티볼리
97879,기아 / RV,올뉴카니발(14)
97880,현대 / 승용,아반떼AD(16)
97881,현대 / 승용,아반떼AD(16)
97882,기아 / RV,올뉴카니발(14)
97883,현대 / 승용,아반떼AD(16)
97884,현대 / 승용,아반떼AD(16)
97885,현대 / RV,올뉴투싼(15)
97886,현대 / RV,코나
97887,쌍용 / RV,티볼리
97888,기아 / RV,올뉴카니발(14)
97889,현대 / 승용,아이오닉
97890,기아 / RV,올뉴카니발(14)
97891,기아 / 승용,프라이드4DR(15)
97892,현대 / 승용,아반떼AD(16)
