,maker,car
13,기아,뉴카니발9인승(06)
14,한국GM,말리부
16,현대,아반떼AD(16)
20,기아,K5(18)
22,기아,올뉴쏘렌토
24,한국GM,말리부
25,쌍용,코란도 C
26,현대,아반떼AD(16)
27,기아,모하비
30,현대,그랜져IG(17)
32,기아,K3
33,기아,K7
35,한국GM,말리부
36,기아,K7
56,한국GM,말리부
60,기아,K5(15)
63,기아,K7
67,기아,스포티지(16)
73,기아,K3
78,기아,올뉴카니발(14)
87,현대,G80(16)
91,기아,K3
97,기아,니로
99,현대,싼타페(15)
100,기아,쏘렌토R
102,기아,K9
103,현대,G80(16)
108,현대,HG그랜져
115,기아,K9
116,현대,싼타페DM
121,기아,올뉴카니발(14)
122,기아,레이
126,기아,스포티지R
127,한국GM,올뉴말리부(2017)
128,기아,레이
141,현대,제네시스(14)
145,한국GM,말리부
148,현대,아이오닉
153,기아,K7
160,기아,스포티지(16)
170,현대,G80(16)
173,현대,아반떼AD(16)
176,쌍용,티볼리
177,현대,아반떼AD(16)
178,현대,YF 쏘나타
182,기아,올뉴쏘렌토
183,기아,올뉴쏘렌토
184,기아,올뉴카니발(14)
185,기아,올뉴쏘렌토
186,쌍용,렉스턴 II
187,쌍용,티볼리
188,기아,올 뉴 모닝(11)
189,현대,아반떼AD(16)
190,현대,HG그랜져
191,기아,올뉴프라이드4DR(12)
192,기아,올뉴카니발(14)
193,현대,싼타페DM
194,현대,아반떼MD(13)
195,기아,K5
196,현대,싼타페DM
197,현대,HG그랜져
199,기아,레이
200,현대,싼타페DM
201,한국GM,윈스톰
202,현대,그랜져IG(17)
203,기아,K5(15)
204,현대,HG그랜져
205,현대,올뉴투싼
206,르노삼성,SM7 Nova
207,기아,올뉴카니발(14)
208,현대,싼타페DM
209,기아,올뉴쏘렌토
210,기아,모하비
211,기아,니로
212,현대,그랜드스타렉스 5밴
213,기아,올뉴쏘렌토
214,기아,올 뉴 모닝(11)
215,현대,그랜드스타렉스 5밴
216,현대,LF 쏘나타
217,현대,아슬란
218,현대,제네시스(14)
219,현대,HG그랜져
220,기아,올 뉴 K7
221,현대,HG그랜져
222,쌍용,티볼리
223,기아,모하비
224,현대,그랜드스타렉스 웨건
225,현대,HG그랜져
226,현대,그랜드스타렉스 5밴
227,한국GM,말리부
228,기아,레이
229,현대,싼타페DM
230,기아,올뉴쏘렌토
231,쌍용,코란도 C
232,기아,K3
233,쌍용,코란도스포츠
234,기아,올뉴카니발(14)
235,기아,올뉴카니발(14)
236,현대,제네시스(14)
237,기아,올뉴쏘렌토
238,기아,올뉴쏘렌토
239,현대,투싼 IX
240,현대,싼타페DM
241,기아,레이
242,현대,그랜드스타렉스 5밴
243,한국GM,더넥스트스파크
244,현대,EQ900
245,기아,올뉴쏘렌토
246,기아,올뉴쏘렌토
247,기아,올뉴쏘렌토
248,현대,그랜드스타렉스 웨건
249,기아,올뉴카니발(14)
250,기아,모하비
251,현대,올뉴투싼
252,기아,올 뉴 모닝(11)
253,기아,스포티지(16)
254,현대,싼타페DM
255,기아,올뉴쏘렌토
256,기아,모하비
257,현대,그랜드스타렉스 5밴
258,기아,올뉴카니발(14)
259,기아,올 뉴 모닝(11)
260,현대,아반떼AD(16)
261,기아,레이
262,현대,올뉴투싼
263,기아,올뉴쏘렌토
264,기아,스포티지(16)
265,현대,싼타페DM
266,현대,올뉴투싼
267,현대,그랜드스타렉스 웨건
268,기아,올 뉴 모닝(11)
269,기아,니로
270,기아,모하비
271,기아,스포티지(16)
272,기아,올뉴카니발(14)
273,쌍용,코란도스포츠
274,기아,스포티지R
275,기아,레이
276,현대,HG그랜져
277,기아,올뉴쏘렌토
278,현대,벨로스터
279,기아,올 뉴 모닝(11)
280,현대,LF 쏘나타
281,기아,니로
282,기아,레이
283,현대,그랜드스타렉스 5밴
284,현대,싼타페DM
285,르노삼성,SM5(10)
286,현대,제네시스(14)
287,기아,스포티지R
288,현대,그랜드스타렉스 3밴
289,현대,제네시스(14)
290,기아,올뉴쏘렌토
291,현대,HG그랜져
292,현대,올뉴투싼
293,기아,레이
294,기아,올뉴카니발(14)
295,기아,스포티지R
296,기아,올 뉴 K7
297,현대,LF 쏘나타
298,기아,올뉴카니발(14)
299,기아,올뉴프라이드5DR(12)
300,기아,K7
301,현대,HG그랜져
302,기아,올뉴모닝(17)
303,현대,싼타페DM
304,기아,올뉴모닝(17)
305,현대,싼타페DM
306,기아,올뉴쏘렌토
307,기아,올뉴카니발(14)
308,현대,제네시스(14)
309,현대,LF 쏘나타
310,기아,올뉴카니발(14)
311,현대,엑센트(11)
312,기아,올뉴카니발(14)
313,기아,올뉴카니발(14)
314,쌍용,티볼리
315,현대,제네시스(14)
316,기아,올뉴모닝(17)
317,기아,K7
318,기아,스포티지(16)
319,기아,레이
320,기아,올뉴카니발(14)
321,기아,올 뉴 K7
322,기아,올뉴카니발(14)
323,현대,올뉴투싼
324,기아,K7
325,현대,LF 쏘나타
326,기아,레이
327,기아,K7
328,기아,올뉴쏘렌토
329,현대,그랜져IG(17)
330,기아,올뉴쏘렌토
331,르노삼성,뉴SM3(2012)
332,기아,올뉴프라이드4DR(12)
333,기아,니로
334,현대,HG그랜져
335,현대,싼타페DM
336,현대,그랜드스타렉스 웨건
337,기아,K5(15)
338,현대,그랜드스타렉스 웨건
339,현대,엑센트(11)
340,쌍용,코란도 C
341,기아,니로
342,현대,싼타페DM
343,기아,니로
344,현대,EQ900
345,기아,K7
346,현대,아반떼AD(16)
347,기아,올 뉴 K7
348,현대,올뉴투싼
349,현대,EQ900
350,기아,올뉴카니발(14)
351,기아,레이
352,기아,올 뉴 K7
353,기아,올 뉴 모닝(11)
354,현대,그랜드스타렉스 웨건
355,기아,스포티지R
356,기아,올뉴모닝(17)
357,기아,올뉴모닝(17)
358,현대,LF 쏘나타
359,기아,올뉴모닝(17)
360,기아,스포티지(16)
361,현대,LF 쏘나타
362,기아,K5(15)
363,현대,올뉴투싼
364,한국GM,말리부
365,기아,K3
366,현대,그랜져IG(17)
367,현대,HG그랜져
368,한국GM,올뉴말리부(2017)
369,기아,올뉴쏘렌토
370,현대,아반떼AD(16)
371,기아,올뉴쏘렌토
372,현대,올뉴투싼
373,현대,그랜드스타렉스 웨건
374,기아,올 뉴 K7
375,현대,싼타페DM
376,현대,싼타페DM
377,현대,LF 쏘나타
378,현대,베라크루즈
379,기아,스포티지(16)
380,르노삼성,SM6
381,현대,엑센트(11)
382,현대,에쿠스(09)
383,현대,HG그랜져
384,기아,K7
385,현대,HG그랜져
386,기아,니로
387,현대,싼타페DM
388,기아,올뉴프라이드5DR(12)
389,한국GM,올뉴말리부(2017)
390,기아,올뉴카니발(14)
391,현대,그랜져IG(17)
392,기아,레이
393,현대,그랜져IG(17)
394,현대,싼타페DM
395,현대,그랜드스타렉스 5밴
396,현대,EQ900
397,현대,싼타페DM
398,한국GM,올뉴말리부(2017)
399,현대,그랜져IG(17)
400,현대,그랜드스타렉스 5밴
401,현대,그랜드스타렉스 웨건
402,현대,HG그랜져
403,현대,LF 쏘나타
404,기아,올 뉴 모닝(11)
405,르노삼성,SM7 Nova
406,현대,제네시스(14)
407,현대,엑센트(11)
408,기아,올뉴카니발(14)
409,현대,싼타페DM
410,기아,모하비(16)
411,기아,올뉴카니발(14)
412,기아,올뉴모닝(17)
413,현대,HG그랜져
414,현대,그랜드스타렉스 웨건
415,현대,아반떼MD(10)
416,현대,아반떼AD(16)
417,기아,올 뉴 K7
418,기아,올 뉴 K7
419,기아,올뉴카니발(14)
420,기아,올뉴쏘렌토
421,기아,올 뉴 K7
422,현대,HG그랜져
423,현대,제네시스(14)
424,현대,LF 쏘나타
425,현대,아반떼AD(16)
426,기아,올뉴쏘렌토
427,기아,올 뉴 K7
428,현대,아반떼AD(16)
429,기아,올뉴쏘렌토
430,현대,맥스크루즈
431,현대,싼타페DM
432,현대,HG그랜져
433,현대,싼타페DM
434,기아,K7
435,기아,K7
436,기아,레이
437,한국GM,더넥스트스파크
438,기아,스포티지(16)
439,한국GM,더넥스트스파크
440,기아,올뉴카니발(14)
441,현대,LF 쏘나타 뉴라이즈
442,현대,제네시스(14)
443,기아,스포티지R
444,현대,그랜드스타렉스 웨건
445,한국GM,올란도
446,쌍용,티볼리
447,현대,올뉴투싼
448,기아,K3
449,현대,엑센트(11)
450,기아,K7
451,기아,올 뉴 모닝(11)
452,기아,레이
453,한국GM,트랙스
454,현대,싼타페DM
455,기아,레이
456,기아,올뉴카니발(14)
457,기아,올뉴쏘렌토
458,현대,LF 쏘나타
459,현대,제네시스(14)
460,기아,K7
461,현대,올뉴투싼
462,기아,올뉴카니발(14)
463,한국GM,올란도
464,현대,아반떼AD(16)
465,기아,올뉴쏘렌토
466,기아,모하비(16)
467,기아,올뉴쏘렌토
468,현대,올뉴투싼
469,기아,올뉴카니발(14)
470,한국GM,올뉴말리부(2017)
471,기아,K3
472,쌍용,렉스턴 II
473,현대,싼타페DM
474,기아,모하비(16)
475,기아,올뉴쏘렌토
476,현대,벨로스터(15)
477,현대,그랜져IG(17)
478,현대,아이오닉
479,기아,K5(15)
480,현대,싼타페(15)
481,현대,G80(16)
482,기아,올뉴카니발(14)
483,기아,K5
484,현대,그랜져IG(17)
485,기아,K3
486,기아,올뉴카니발(14)
487,현대,싼타페DM
488,현대,그랜드스타렉스 웨건
489,현대,싼타페DM
490,현대,HG그랜져
491,현대,LF 쏘나타
492,현대,HG그랜져
493,현대,EQ900
494,기아,올뉴카니발(14)
495,기아,올뉴카니발(14)
496,현대,맥스크루즈
497,현대,제네시스(14)
498,기아,K7
499,현대,그랜드스타렉스 웨건
500,현대,그랜드스타렉스 웨건
501,기아,올뉴모닝(17)
502,한국GM,올란도
503,쌍용,티볼리
504,기아,올뉴쏘렌토
505,기아,올뉴쏘렌토
506,기아,올 뉴 K7
507,기아,니로
508,현대,싼타페DM
509,기아,올뉴카니발(14)
510,기아,올 뉴 K7
511,기아,올뉴쏘렌토(18)
512,기아,올뉴카니발(14)
513,현대,LF 쏘나타
514,현대,HG그랜져
515,현대,싼타페(15)
516,기아,쏘울(16)
517,현대,G80(16)
518,현대,싼타페(15)
519,현대,EQ900
520,기아,올뉴카니발(14)
521,기아,올뉴카니발(14)
522,한국GM,올뉴말리부(2017)
523,현대,그랜드스타렉스 5밴
524,기아,K3(4도어)(16)
525,기아,K5(15)
526,현대,싼타페(15)
527,현대,HG그랜져
528,기아,스포티지(16)
529,르노삼성,SM5 TCE(13)
530,기아,올뉴카니발(14)
531,기아,레이
532,한국GM,말리부
533,현대,G80(16)
534,현대,그랜드스타렉스 3밴
535,현대,HG그랜져
536,한국GM,트랙스
537,기아,올뉴카니발(14)
538,현대,그랜드스타렉스 웨건
539,현대,싼타페(15)
540,현대,올뉴투싼(15)
541,현대,올뉴투싼(15)
542,한국GM,알페온
543,쌍용,코란도 투리스모
544,현대,그랜져IG(17)
545,현대,그랜져IG(17)
546,기아,K3
547,기아,올 뉴 K7
548,기아,K3
549,기아,스포티지R
550,현대,싼타페DM
551,기아,쏘울(16)
552,기아,니로
553,기아,K7
554,기아,K3
555,기아,K3(4도어)(16)
556,기아,올 뉴 모닝(11)
557,현대,아반떼AD(16)
558,현대,그랜드스타렉스 웨건(15)
559,현대,그랜져IG(17)
560,기아,모하비(16)
561,현대,그랜드스타렉스 5밴(15)
562,기아,레이
563,기아,올뉴카니발(14)
564,현대,LF 쏘나타 뉴라이즈
565,기아,스포티지(16)
566,기아,올 뉴 K7
567,현대,그랜드스타렉스 웨건
568,현대,제네시스(14)
569,현대,G80(16)
570,현대,싼타페(15)
571,기아,올 뉴 모닝(11)
572,기아,K3(4도어)(16)
573,기아,K3
574,현대,싼타페(15)
575,기아,올 뉴 모닝(11)
576,기아,올뉴카니발(14)
577,기아,K5(15)
578,기아,모하비
579,기아,올뉴모닝(17)
580,현대,올뉴투싼(15)
581,기아,올 뉴 K7
582,쌍용,코란도 C
583,현대,HG그랜져
584,기아,올뉴카니발(14)
585,기아,올뉴카니발(14)
586,기아,니로
587,현대,HG그랜져
588,현대,아반떼AD(16)
589,현대,아반떼AD(16)
590,현대,올뉴투싼(15)
591,기아,올 뉴 모닝(11)
592,기아,K5(15)
593,기아,K3(4도어)(16)
594,기아,K3
595,현대,올뉴투싼(15)
596,현대,G80(16)
597,현대,EQ900
598,현대,HG그랜져
599,기아,올뉴카니발(14)
600,기아,올 뉴 모닝(11)
601,기아,올뉴쏘렌토
602,현대,올뉴투싼(15)
603,기아,올 뉴 K7
604,현대,i30(2017)
605,현대,싼타페(15)
606,기아,K7
607,기아,올뉴카니발(14)
608,현대,아슬란
609,쌍용,코란도스포츠
610,기아,올뉴카니발(14)
611,기아,K7
612,현대,제네시스(14)
613,기아,올뉴쏘렌토
614,기아,올 뉴 K7
615,기아,올뉴모닝(15)
616,기아,포르테 쿱
617,기아,올뉴쏘렌토
618,기아,올뉴카니발(14)
619,현대,아반떼AD(16)
620,현대,EQ900
621,현대,HG그랜져
622,현대,그랜드스타렉스 웨건(15)
623,기아,올뉴모닝(17)
624,기아,올뉴카니발(14)
625,기아,K9
626,현대,그랜드스타렉스 5밴
627,현대,올뉴투싼(15)
628,기아,올뉴카니발(14)
629,현대,그랜져IG(17)
630,기아,니로
631,르노삼성,SM7 Nova
632,현대,싼타페DM
633,기아,올 뉴 모닝(11)
634,기아,니로
635,현대,제네시스(14)
636,현대,제네시스(14)
637,기아,올 뉴 K7
638,기아,올 뉴 모닝(11)
639,기아,올뉴쏘렌토
640,현대,그랜드스타렉스 웨건
641,쌍용,코란도스포츠
642,기아,올뉴쏘울(16)
643,기아,레이(18)
644,기아,K5(18)
645,현대,G80(16)
646,기아,올 뉴 K7
647,기아,올뉴쏘렌토
648,현대,베라크루즈
649,기아,니로
650,현대,아이오닉
651,현대,제네시스(14)
652,기아,레이
653,현대,G80(16)
654,현대,그랜져IG(17)
655,기아,올뉴쏘렌토
656,현대,그랜져IG(17)
657,기아,올뉴카니발(14)
658,기아,올 뉴 K7
659,현대,아반떼AD(16)
660,현대,싼타페(15)
661,현대,싼타페(15)
662,기아,스포티지(16)
663,기아,니로
664,현대,아반떼AD(16)
665,기아,K7
666,기아,올뉴쏘렌토
667,현대,EQ900
668,기아,올뉴모닝(15)
669,기아,올뉴쏘렌토
670,기아,올뉴카니발(14)
671,기아,스포티지(16)
672,기아,올뉴카니발(14)
673,현대,HG그랜져
674,기아,스포티지(16)
675,기아,K7
676,기아,올뉴카니발(14)
677,현대,아슬란
678,현대,LF 쏘나타 뉴라이즈
679,현대,그랜드스타렉스 5밴(15)
680,기아,K3(4도어)(16)
681,현대,HG그랜져
682,기아,스포티지(16)
683,기아,올뉴쏘렌토
684,기아,올뉴카니발(14)
685,한국GM,올뉴말리부(2017)
686,현대,아반떼AD(16)
687,현대,싼타페(15)
688,기아,스포티지(16)
689,기아,K3(4도어)(16)
690,기아,K7
691,현대,아반떼AD(16)
692,기아,K3(4도어)(16)
693,현대,G80(16)
694,기아,올 뉴 K7
695,기아,올 뉴 K7
696,기아,레이
697,기아,올뉴쏘울(16)
698,현대,싼타페(15)
699,현대,싼타페(15)
700,현대,엑센트(11)
701,쌍용,코란도스포츠
702,현대,그랜져IG(17)
703,현대,아반떼MD(13)
704,기아,올 뉴 K7
705,현대,그랜져IG(17)
706,기아,K3(4도어)(16)
707,현대,G80(16)
708,현대,싼타페(15)
709,기아,올뉴카니발(14)
710,현대,아반떼AD(16)
711,현대,아반떼AD(16)
712,기아,올뉴카니발(14)
713,쌍용,티볼리
714,기아,올뉴카니발(14)
715,기아,모하비(16)
716,현대,올뉴투싼(15)
717,현대,아반떼AD(16)
718,기아,스포티지R
719,현대,그랜드스타렉스웨건(18)
720,기아,K5(18)
721,현대,HG그랜져
722,기아,올뉴모닝(15)
723,기아,올뉴카니발(14)
724,기아,올뉴모닝(15)
725,기아,올뉴쏘렌토
726,현대,싼타페(15)
727,쌍용,코란도스포츠
728,현대,아반떼MD(13)
729,현대,싼타페(15)
730,현대,올뉴투싼(15)
731,르노삼성,QM6
732,기아,올뉴쏘렌토
733,기아,올뉴모닝(15)
734,현대,에쿠스(09)
735,현대,HG그랜져
736,현대,엑센트(15)
737,기아,올뉴모닝(15)
738,기아,K3(4도어)(16)
739,현대,그랜져IG(17)
740,현대,싼타페(15)
741,현대,싼타페(15)
742,기아,올뉴카니발(14)
743,현대,아반떼AD(16)
744,기아,올뉴쏘렌토
745,기아,올뉴모닝(17)
746,현대,올뉴투싼(15)
747,기아,올뉴카니발(14)
748,현대,HG그랜져
749,현대,그랜드스타렉스 웨건(15)
750,기아,올뉴쏘렌토
751,기아,올뉴카니발(14)
752,현대,싼타페(15)
753,현대,투싼 IX
754,기아,올뉴모닝(15)
755,현대,맥스크루즈
756,기아,K3(4도어)(16)
757,기아,올뉴쏘렌토
758,현대,아반떼AD(16)
759,현대,LF 쏘나타 뉴라이즈
760,기아,올뉴쏘렌토
761,기아,올뉴쏘렌토
762,쌍용,티볼리
763,현대,에쿠스(09)
764,기아,올뉴쏘렌토
765,현대,맥스크루즈(16)
766,현대,에쿠스(09)
767,현대,LF 쏘나타
768,현대,LF 쏘나타
769,현대,LF 쏘나타
770,기아,올뉴카니발(14)
771,기아,올뉴쏘렌토
772,현대,싼타페(15)
773,현대,G80(16)
774,현대,싼타페(15)
775,한국GM,크루즈(라세티 프리미어)
776,현대,HG그랜져
777,현대,G80(16)
778,기아,올 뉴 모닝(11)
779,기아,올뉴모닝(15)
780,기아,K3(18)
781,기아,올뉴쏘렌토
782,현대,LF 쏘나타 뉴라이즈
783,현대,그랜드스타렉스 5밴(15)
784,현대,싼타페DM
785,기아,올뉴쏘렌토
786,르노삼성,QM3
787,현대,아반떼AD(16)
788,기아,올뉴카니발(14)
789,기아,올뉴모닝(17)
790,기아,올뉴프라이드4DR(12)
791,기아,올뉴쏘렌토(18)
792,기아,K5(15)
793,기아,올뉴쏘렌토
794,기아,스포티지R
795,기아,니로
796,기아,니로
797,현대,싼타페TM(18)
798,기아,올 뉴 K7
799,현대,아반떼AD(16)
800,현대,HG그랜져
801,기아,스토닉
802,쌍용,티볼리
803,현대,그랜드스타렉스 5밴(15)
804,현대,에쿠스(09)
805,기아,올뉴카니발(14)
806,현대,아반떼AD(16)
807,기아,K3(18)
808,기아,올뉴카니발(14)
809,기아,올뉴카니발(14)
810,현대,싼타페DM
811,기아,올 뉴 K7
812,기아,올뉴쏘렌토
813,현대,싼타페TM(18)
814,현대,EQ900
815,현대,LF 쏘나타 뉴라이즈
816,기아,스포티지R
817,기아,K5(18)
818,현대,싼타페(15)
819,현대,싼타페DM
820,현대,아반떼MD(13)
821,르노삼성,QM6
822,현대,그랜져IG(17)
823,현대,싼타페DM
824,기아,니로
825,현대,LF 쏘나타
826,현대,아반떼AD(16)
827,현대,G80(16)
828,기아,K3(18)
829,현대,올뉴투싼(15)
830,기아,올뉴쏘렌토
831,기아,올뉴쏘렌토
832,기아,올뉴쏘렌토
833,기아,K5(15)
834,기아,K5(15)
835,기아,올뉴모닝(15)
836,현대,아반떼MD(13)
837,기아,올 뉴 K7
838,쌍용,G4 렉스턴
839,쌍용,G4 렉스턴
840,현대,그랜져IG(17)
841,현대,LF 쏘나타
842,기아,올뉴카렌스
843,현대,싼타페TM(18)
844,현대,아반떼AD(16)
845,현대,아반떼AD(16)
846,현대,벨로스터(17)
847,현대,LF 쏘나타
848,현대,벨로스터(17)
849,현대,LF 쏘나타 뉴라이즈
850,기아,올 뉴 K7
851,현대,올뉴투싼(15)
852,현대,HG그랜져
853,기아,올뉴쏘렌토
854,현대,그랜드스타렉스3밴(18)
855,현대,베라크루즈
856,기아,스포티지(16)
857,현대,그렌져XG
858,기아,K3
859,현대,아반떼AD(16)
860,현대,그랜드스타렉스 웨건
861,현대,싼타페(15)
862,현대,에쿠스(09)
863,한국GM,올란도
864,현대,HG그랜져
865,기아,올 뉴 K7
866,현대,그랜져IG(17)
867,기아,올뉴카니발(14)
868,기아,쏘렌토R
869,현대,LF 쏘나타
870,기아,올 뉴 K7
871,기아,올뉴모닝(15)
872,현대,싼타페DM
873,기아,올뉴쏘렌토
874,현대,투싼 IX
875,기아,올뉴카니발(14)
876,현대,그랜드스타렉스 5밴
877,기아,레이
878,기아,뉴 모닝
879,기아,올 뉴 모닝(11)
880,현대,LF 쏘나타 뉴라이즈
881,기아,올뉴모닝(15)
882,현대,맥스크루즈(16)
883,기아,올 뉴 모닝(11)
884,기아,올뉴쏘렌토(18)
885,기아,K5(15)
886,한국GM,올뉴말리부(2017)
887,현대,그랜드스타렉스 웨건(15)
888,기아,K3(4도어)(16)
889,기아,로체 이노베이션
890,한국GM,스파크(마티즈크리에이티브)
891,기아,K5(15)
892,현대,아반떼MD(13)
893,현대,그랜드스타렉스 5밴(15)
894,현대,HG그랜져
895,기아,K3(18)
896,기아,올뉴카니발(14)
897,현대,HG그랜져
898,기아,K5(18)
899,현대,아반떼MD(13)
900,쌍용,티볼리
901,현대,G80(16)
902,현대,싼타페TM(18)
903,현대,HG그랜져
904,현대,LF 쏘나타
905,기아,로체 이노베이션
906,기아,스포티지(16)
907,기아,올뉴모닝(17)
908,기아,K5(18)
909,기아,레이(18)
910,한국GM,더넥스트스파크
911,기아,올 뉴 모닝(11)
912,현대,그랜져IG(17)
913,현대,아반떼AD(16)
914,한국GM,더넥스트스파크
915,기아,올뉴모닝(15)
916,기아,올뉴쏘렌토
917,기아,올뉴쏘렌토(18)
918,기아,올뉴쏘렌토(18)
919,현대,싼타페(15)
920,현대,그랜드스타렉스 웨건(15)
921,기아,올뉴카니발(14)
922,기아,올뉴카니발(14)
923,기아,K3(4도어)(16)
924,쌍용,코란도스포츠
925,현대,올뉴투싼(15)
926,현대,싼타페(15)
927,기아,올뉴카니발(14)
928,현대,싼타페(15)
929,현대,G80(16)
930,현대,G80(16)
931,기아,K3(18)
932,현대,싼타페TM(18)
933,현대,싼타페(15)
934,현대,그랜드스타렉스 5밴
935,현대,HG그랜져
936,현대,싼타페TM(18)
937,기아,올뉴쏘렌토
938,기아,올뉴카니발(14)
939,기아,K5(18)
940,쌍용,G4 렉스턴
941,현대,HG그랜져
942,기아,K5(15)
943,현대,벨로스터(17)
944,기아,올뉴모닝(17)
945,현대,그랜져IG(17)
946,기아,올뉴카니발(14)
947,기아,K3(18)
948,기아,스포티지(16)
949,기아,올뉴쏘렌토
950,기아,올뉴쏘렌토(18)
951,현대,LF 쏘나타 뉴라이즈
952,기아,니로EV(19)
953,현대,LF 쏘나타
954,현대,HG그랜져
955,기아,K3(18)
956,기아,올뉴쏘렌토
957,현대,코나
958,기아,뉴쏘렌토R(13)
959,기아,올뉴쏘렌토(18)
960,현대,올뉴투싼(15)
961,현대,아반떼AD(16)
962,기아,K3(18)
963,기아,올뉴모닝(15)
964,현대,G80(16)
965,기아,K3(18)
966,현대,그랜드스타렉스 웨건(15)
967,기아,스포티지(16)
968,기아,니로
969,기아,니로
970,현대,싼타페TM(18)
971,기아,K5(18)
972,기아,올뉴카니발(14)
973,기아,K5(18)
974,기아,올뉴모닝(17)
975,기아,올뉴모닝(15)
976,기아,모하비(16)
977,기아,올뉴모닝(15)
978,현대,G80(16)
979,현대,G80(16)
980,현대,그랜져IG(17)
981,현대,맥스크루즈(16)
982,현대,G80(16)
983,기아,K3(18)
984,기아,모하비(16)
985,기아,올뉴모닝(15)
986,현대,싼타페TM(18)
987,기아,K9(18)
988,현대,아반떼AD(16)
989,현대,G80(16)
990,쌍용,티볼리
991,쌍용,티볼리
992,기아,올뉴카니발(14)
993,기아,올 뉴 K7
994,현대,HG그랜져
995,현대,HG그랜져
996,기아,K3(4도어)(16)
997,현대,쏘나타(19)
998,현대,그랜져IG(17)
999,기아,올뉴카니발(14)
1000,기아,니로EV(19)
1001,한국GM,올란도
1002,기아,프라이드5DR(15)
1003,현대,LF 쏘나타 뉴라이즈
1004,기아,올뉴쏘렌토
1005,기아,올뉴카니발(14)
1006,현대,HG그랜져
1007,기아,올뉴쏘렌토
1008,현대,HG그랜져
1009,현대,G80(16)
1010,기아,스토닉
1011,기아,스토닉
1012,기아,올 뉴 K7
1013,현대,아반떼AD(16)
1014,기아,올뉴카니발(14)
1015,한국GM,올란도
1016,현대,그랜져IG(17)
1017,기아,올뉴카니발(14)
1018,기아,스포티지R
1019,현대,베뉴(19)
1020,한국GM,올란도
1021,기아,스토닉
1022,기아,올뉴모닝(15)
1023,기아,올뉴쏘렌토
1024,기아,올뉴카니발(14)
1025,한국GM,더넥스트스파크
1026,기아,K7
1027,쌍용,코란도스포츠
1028,현대,아반떼AD(16)
1029,현대,엑센트(15)
1030,기아,K3(18)
1031,현대,올뉴투싼(15)
1032,현대,싼타페TM(18)
1033,현대,HG그랜져
1034,기아,올뉴쏘렌토(18)
1035,기아,올뉴모닝(17)
1036,기아,올 뉴 K7
1037,현대,엑센트(15)
1038,현대,그랜드스타렉스 3밴(15)
1039,기아,올 뉴 K7
1040,현대,싼타페TM(18)
1041,현대,그랜져IG(17)
1042,기아,올뉴쏘렌토
1043,현대,아반떼MD(13)
1044,한국GM,더넥스트스파크
1045,기아,올 뉴 K7
1046,기아,올 뉴 K7
1047,기아,모하비
1049,현대,올뉴투싼(15)
1050,한국GM,올란도
1051,기아,올뉴카니발(14)
1052,기아,스포티지(16)
1053,기아,K5(15)
1054,쌍용,코란도스포츠
1055,기아,올뉴카니발(14)
1056,현대,싼타페TM(18)
1057,현대,그랜져IG(17)
1058,기아,올 뉴 K7
1059,기아,스포티지(16)
1060,현대,아반떼AD(16)
1061,기아,스포티지(16)
1062,기아,K5(15)
1063,한국GM,올란도
1064,쌍용,코란도스포츠
1065,기아,올뉴쏘렌토
1066,기아,스토닉
1067,현대,싼타페TM(18)
1068,기아,올 뉴 K7
1069,현대,LF 쏘나타 뉴라이즈
1070,기아,스팅어(17)
1071,기아,올뉴모닝(15)
1072,기아,올뉴카니발(14)
1073,기아,올뉴쏘렌토(18)
1074,기아,올뉴쏘렌토
1075,기아,프라이드4DR(15)
1076,기아,스토닉
1077,쌍용,코란도스포츠
1078,현대,LF 쏘나타 뉴라이즈
1079,기아,올 뉴 K7
1080,기아,니로EV(19)
1081,기아,레이(18)
1082,기아,K5(18)
1083,현대,EQ900
1084,현대,코나
1085,현대,EQ900
1086,기아,올뉴쏘렌토(18)
1087,현대,싼타페DM
1088,현대,투싼 IX
1089,기아,올뉴카니발(14)
1090,현대,제네시스(14)
1091,기아,K5(18)
1092,현대,G80(16)
1093,기아,올뉴쏘렌토(18)
1094,현대,싼타페DM
1095,현대,그랜져IG(17)
1096,기아,올뉴모닝(17)
1097,기아,올뉴쏘렌토
1098,현대,그랜드스타렉스웨건(18)
1099,기아,올뉴모닝(17)
1100,현대,LF 쏘나타 뉴라이즈
1101,현대,그랜져IG(17)
1102,현대,그랜드스타렉스웨건(18)
1103,현대,그랜드스타렉스웨건(18)
1104,기아,올뉴모닝(15)
1105,기아,올뉴쏘렌토(18)
1106,현대,G80(16)
1107,현대,베라크루즈
1108,기아,올뉴카니발(14)
1109,기아,레이(18)
1110,현대,싼타페(15)
1111,현대,LF 쏘나타 뉴라이즈
1112,기아,스포티지(16)
1113,기아,올뉴쏘렌토(18)
1114,기아,니로
1115,기아,올뉴카니발(14)
1116,기아,올뉴카니발(14)
1117,기아,K3
1118,기아,K3(18)
1119,현대,아반떼AD(16)
1120,기아,K5
1121,기아,올뉴카니발(14)
1122,현대,i30(2017)
1123,현대,아반떼AD(16)
1124,현대,아반떼AD(16)
1125,기아,니로
1126,기아,K3(4도어)(16)
1127,현대,올뉴투싼(15)
1128,한국GM,더넥스트스파크
1129,기아,올뉴쏘렌토
1130,현대,EQ900
1131,기아,K3
1132,한국GM,스파크(마티즈크리에이티브)
